POSTE;NOM;LON;LAT;ALT;DATE;RR;QRR;TN;QTN;TX;QTX;TM;QTM;FFM;QFFM;UN;QUN;UX;QUX;DHUMI40;QDHUMI40;DHUMI80;QDHUMI80;UM;QUM
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200101;0;v;-4,3;v;0,1;v;-1,4;v;1,9;v;89;v;98;v;0;t;1440;t;97;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200102;0;v;-2;v;4,8;v;2;v;3,6;v;91;v;98;v;0;t;1440;t;95;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200103;3,4;v;3,2;v;7,9;v;6,3;v;6,4;v;81;v;97;v;0;t;1440;t;91;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200104;0;v;1,6;v;6,2;v;3,8;v;3,1;v;75;v;97;v;0;t;1280;t;90;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200105;0;v;0,3;v;7,9;v;2,9;v;1,4;v;64;v;98;v;0;t;1225;t;90;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200106;0;v;-2,9;v;6,4;v;1,2;v;3;v;72;v;98;v;0;t;1124;t;89;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200107;0;v;1,5;v;7,1;v;3,9;v;3,8;v;76;v;97;v;0;t;1372;t;92;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200108;0;v;0,4;v;9,6;v;7;v;4,3;v;92;v;97;v;0;t;1440;t;95;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200109;3,2;v;8,2;v;10;v;9;v;6,5;v;59;v;96;v;0;t;1027;t;83;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200110;0,8;v;5,5;v;8,6;v;6,6;v;5,4;v;82;v;96;v;0;t;1440;t;89;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200111;0;v;1,3;v;5,9;v;3,2;v;1,7;v;65;v;98;v;0;t;1004;t;85;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200112;0;v;1;v;4,8;v;3,3;v;4,8;v;75;v;96;v;0;t;1290;t;87;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200113;0;v;3,9;v;7;v;5,3;v;4,4;v;78;v;96;v;0;t;1376;t;90;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200114;0;v;5,6;v;10,6;v;8,3;v;8,3;v;51;v;79;v;0;t;0;t;66;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200115;0;v;7;v;13;v;10;v;7,7;v;53;v;77;v;0;t;0;t;67;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200116;0;v;5,1;v;13,5;v;8,5;v;3,7;v;59;v;91;v;0;t;473;t;76;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200117;0,6;v;6,1;v;9,4;v;6,9;v;5,5;v;72;v;91;v;0;t;982;t;83;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200118;0,2;v;1,7;v;4,2;v;2,2;v;3,4;v;77;v;97;v;0;t;1407;t;90;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200119;0;v;-2,3;v;3,4;v;0,5;v;2,9;v;81;v;98;v;0;t;1440;t;92;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200120;0;v;0,7;v;5,1;v;2,2;v;5,1;v;62;v;89;v;0;t;587;t;77;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200121;0;v;-4,9;v;5,4;v;-0,3;v;1,9;v;61;v;96;v;0;t;982;t;83;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200122;0;v;-5,1;v;-0,1;v;-3,2;v;1,8;v;86;v;96;v;0;t;1440;t;93;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200123;0;v;-4,5;v;1;v;-1,7;v;3,3;v;78;v;97;v;0;t;1398;t;91;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200124;0;v;-3,3;v;8;v;0,6;v;1,9;v;71;v;97;v;0;t;1280;t;92;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200125;0;v;-3,8;v;9,4;v;2,5;v;1,4;v;70;v;98;v;0;t;1188;t;90;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200126;0;v;1,6;v;10,6;v;5,2;v;3,6;v;64;v;97;v;0;t;1212;t;88;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200127;14,3;v;5;v;6,7;v;6;v;8,6;v;84;v;92;v;0;t;1440;t;88;v
